50 5000 25000
984 735 4675 4261
1136 861 3372 1299
1428 905 5008 2060
478 974 910 1835
1218 204 910 1623
929 235 205 740
1232 818 4261 465
82 369 4261 3301
750 174 210 1365
1428 1088 3171 465
693 250 4384 1623
298 596 4820 3865
345 414 4384 1299
690 662 713 3301
537 370 210 910
1146 1150 2537 4261
1099 920 653 4779
1200 448 4261 3573
739 1243 1573 2760
1425 835 628 4565
970 106 3301 5008
1241 1312 2760 2537
115 780 2760 2060
645 1086 3171 4626
261 232 3181 5186
969 865 2767 2760
1321 495 4261 1432
1319 636 740 653
653 570 740 5186
474 230 883 1365
1307 504 4998 10
1000 165 465 4675
945 1243 1573 2760
874 522 713 4565
1394 735 2526 5048
458 1008 2537 653
693 547 2526 1573
323 142 210 4998
743 389 3372 210
1134 552 5186 2046
302 1126 5008 465
252 863 5008 10
1026 736 2673 20
218 297 1365 2526
1141 932 2673 2114
141 685 2767 4998
988 228 3301 883
333 388 205 2046
817 571 3171 5008
427 562 2114 5576
332 353 1835 10
191 812 3181 205
988 703 205 1835
88 735 4675 4261
760 784 2046 3181
514 815 205 653
190 265 5576 10
1110 253 910 2760
145 538 1365 3865
830 718 4626 5186
630 1137 883 20
981 428 2767 1131
1187 1329 4779 3301
883 963 4384 4675
814 859 4565 2046
934 1469 2537 3372
135 1286 3307 1449
677 619 2767 205
1316 453 1365 2760
1227 503 3171 2767
232 383 1365 4820
1259 503 2767 3171
239 408 713 5048
1079 306 4565 465
692 685 3237 2537
187 632 653 1835
194 361 3171 3372
871 1429 4626 883
619 822 3573 10
406 833 3307 628
510 249 740 883
201 292 4626 20
440 636 3181 4652
1391 174 4998 205
812 213 3181 2114
98 698 2760 2526
1041 1432 5048 3307
277 945 1623 4420
536 653 4652 2060
916 451 1449 1131
944 363 1432 5048
351 357 4261 2046
371 1063 1573 713
602 558 2767 1432
1404 686 2537 4420
344 1063 1623 4652
752 804 1835 1365
130 125 1623 740
357 1347 2060 4420
192 1005 465 2060
535 208 3627 2046
165 833 3307 628
27 559 4652 3307
684 230 1365 883
831 958 2673 5186
1159 303 4652 20
161 247 1835 3181
909 718 3573 4820
1396 427 1365 5008
543 981 3237 883
454 733 4652 1449
1382 369 2673 5576
521 681 4565 1299
7 1291 2114 2060
977 981 1623 4565
1234 359 740 3627
1005 1261 1449 2060
1331 606 2114 1299
795 637 4779 2673
1243 815 653 205
713 1136 5008 4675
19 1261 1449 2060
826 1039 4565 883
751 667 713 3865
14 1211 2760 1835
275 870 4565 4384
183 865 1432 1365
489 883 2114 2760
1324 787 465 1299
165 342 4675 1131
1397 558 740 1449
1363 705 2767 4626
1411 740 4652 2114
130 1089 910 20
956 228 4652 1573
528 987 713 4652
1190 179 653 4261
222 671 4998 1449
1158 905 4779 210
1074 596 4820 3372
641 506 5048 1365
1370 629 205 2114
451 713 5576 4675
1028 292 4626 20
485 154 2046 1623
855 95 740 3171
1269 1243 1573 2760
1363 605 713 5186
1081 496 910 205
715 1246 4779 883
1228 1182 740 4626
1159 489 1449 3171
42 504 4998 10
1070 819 2046 1432
1427 1261 2760 4675
714 836 4565 1365
1206 293 4652 4626
167 506 1365 5048
768 891 713 883
705 930 2673 4675
354 427 3573 740
1192 1180 3573 465
1192 251 3171 4820
979 315 205 1365
489 875 2673 3372
728 554 4779 5576
227 938 3237 1299
451 341 1299 2673
857 450 2537 20
19 920 4779 653
326 474 2767 4675
601 794 3372 3181
1418 1321 4626 3301
1239 687 5186 4779
482 1063 4652 1623
139 550 1365 2114
543 862 653 628
1269 794 3181 3372
1054 324 653 3237
725 595 3865 628
995 1162 3181 3307
86 309 1449 4565
725 710 3301 628
1257 470 3301 653
1184 550 1365 2114
494 636 4384 2760
1213 452 3627 210
98 974 4420 4998
324 730 2060 5576
1093 389 210 3372
100 635 5186 910
453 235 740 205
464 700 4998 2114
1196 343 653 2114
876 161 3171 2526
1050 637 3627 713
1134 949 3301 2060
1228 1126 5008 465
1145 809 205 4779
798 462 2673 1573
771 754 1835 713
1224 267 2046 4998
120 510 1623 4261
1316 689 4261 4820
753 154 1131 4420
235 646 3573 2526
1370 251 4820 3171
1158 79 1365 2046
60 1090 2760 4565
577 1429 4626 883
911 123 4652 4779
1285 216 1365 3372
570 540 1432 4675
498 698 3237 10
1414 593 210 2760
626 659 3307 4779
413 1159 465 2046
206 1099 465 205
959 548 4998 5008
236 866 3372 4565
258 665 4779 2767
53 606 1299 2114
46 1364 5048 2060
74 405 2673 205
848 273 713 1131
201 525 4652 2673
521 1347 2060 4420
1093 735 2526 5048
1168 1003 883 1131
709 671 3301 2767
130 946 3237 210
330 547 4420 10
838 378 653 3865
589 727 628 4779
645 895 4384 4420
319 310 2526 1623
1157 983 4998 4779
211 664 1623 1299
77 682 4675 5048
817 58 653 5048
1311 585 4384 1449
1159 547 210 2673
1390 1014 1623 20
1262 548 4998 5008
1019 515 5576 20
506 123 4779 4652
478 1213 4998 2537
1092 586 4779 10
1115 673 465 653
66 1383 2537 3627
805 700 2114 4998
839 425 4565 4626
1404 883 2114 2760
1108 1063 713 1573
515 831 1299 4261
893 241 4820 4998
1371 534 5186 1432
896 1287 465 1623
443 95 3171 740
382 1255 2046 4626
1187 963 4675 4384
586 301 4565 3865
551 820 2673 910
91 347 20 465
1426 554 4565 1573
170 349 3865 4261
647 210 210 4820
504 1013 740 4675
50 500 1299 3171
249 61 1449 5186
1189 635 5186 205
335 629 2114 205
758 218 1623 3171
849 374 2526 2046
708 482 4998 3573
750 387 2760 1623
1269 1090 4626 210
333 389 3372 210
384 1198 3171 2537
633 992 3237 2526
657 291 4420 2767
778 981 1623 4565
1247 496 210 3301
167 913 2673 3573
1317 637 4779 2673
1163 927 713 10
57 73 713 1432
1029 575 3627 2526
332 1099 1432 3307
64 306 4565 465
1145 585 740 5048
308 1180 465 3573
26 1178 2673 5048
1006 937 653 1299
699 538 653 3573
1009 1146 3307 3372
924 1136 4675 1623
164 32 1449 2767
913 319 628 740
167 912 4779 3171
550 995 10 2060
629 733 5008 5186
482 895 3627 1835
996 503 2767 3171
1196 891 4261 1573
479 522 4626 1131
907 760 740 1573
996 585 5048 740
824 1286 3307 1449
1260 472 3627 4998
370 299 2114 10
871 794 3372 3181
1353 386 3171 5576
781 686 4420 2537
410 559 210 2114
761 371 5186 1835
228 901 1449 2673
1096 101 628 2526
480 931 628 4626
1255 912 4565 3301
114 360 5048 2114
1093 1086 4998 1131
369 1186 4626 4998
1252 560 2046 2767
1332 1104 1835 5008
957 733 910 5576
1380 387 1623 2760
1162 176 740 4384
1331 1116 910 4675
240 425 4626 4565
112 437 4384 910
766 152 740 2046
1431 1003 210 3307
691 619 205 2767
246 341 1299 2673
3 799 4420 1365
747 218 1623 3171
1309 937 3301 2673
302 297 2526 1365
385 660 1835 4820
1252 230 883 1365
392 653 4652 2060
1429 558 1432 2767
1140 259 3237 4565
564 509 5186 3171
1165 955 4652 1432
1082 1469 2537 3372
287 286 2114 4565
1317 685 2767 4998
203 614 465 1449
954 132 5048 4261
932 1201 465 910
1101 61 1449 5186
264 931 628 4626
1241 371 3573 1365
789 412 1131 5186
1432 374 2046 2526
1415 1029 1131 4384
460 1107 713 4998
1340 309 4565 1449
1285 668 910 2114
409 174 205 4998
790 1227 3372 4779
1108 530 910 653
229 671 2767 3301
1408 744 4384 2060
200 767 2537 1432
232 558 1432 2767
1245 932 2114 2673
534 248 4565 1131
1364 336 465 2537
539 771 628 2760
1331 1375 3573 4626
721 773 2114 5008
1162 129 3301 910
337 1339 5186 3307
724 366 1449 653
525 268 3181 3237
29 1036 465 628
295 315 1365 205
88 204 1623 910
362 328 2114 4261
609 907 3181 1623
363 756 205 20
1327 154 1131 4420
296 1067 4652 4261
1067 672 1449 1623
495 818 2537 5576
1435 846 3181 3301
157 999 4675 1365
623 657 4626 1299
1368 509 883 4820
1233 710 3301 628
1009 877 10 2537
235 775 5048 20
452 362 4675 3237
317 361 3171 3372
1214 1176 4420 3307
494 987 2537 4820
715 427 740 3573
971 1250 1432 2060
1188 836 1365 4565
336 473 1449 4675
1187 1213 2673 653
14 747 5576 3372
860 618 3865 3372
1054 624 5008 713
1191 485 5048 3573
229 1093 3307 4565
1077 653 3627 10
894 1048 4820 465
1338 657 4626 1299
1330 706 3171 1835
40 814 2673 4626
455 145 210 205
1278 659 3307 4779
983 489 3171 1449
891 675 3627 628
1243 524 1131 20
593 949 2060 3301
538 289 1299 4820
263 734 5186 883
1007 671 1449 4998
996 1054 3307 3171
1239 888 2767 2537
403 666 910 10
380 693 5576 883
1361 726 3171 3181
238 568 2767 740
387 404 1131 5048
825 686 1449 3301
1341 973 4261 4626
115 1218 4675 883
234 1261 1449 2060
5 689 4261 4820
884 606 1299 2114
722 964 3181 883
573 530 653 910
189 1355 2537 1623
983 232 3181 5186
764 759 4652 205
537 443 20 10
1135 584 4420 4779
201 477 465 4652
377 757 3865 883
957 844 5186 2760
477 1020 1623 1131
1230 1432 5048 3307
781 922 3573 3181
592 607 1573 4384
1228 605 1449 3372
325 1002 2673 465
850 680 2537 3181
168 836 4420 210
676 303 2767 4565
628 254 1573 4779
1302 639 1299 5186
133 125 5008 2760
786 1059 2537 205
1378 525 205 3372
1166 1405 4652 3573
52 866 3372 4565
774 1211 1835 2760
814 472 5048 910
51 852 653 4626
679 902 5186 2537
414 750 1432 2760
1396 572 10 1623
679 218 4998 1365
814 773 653 2526
72 630 4675 653
1353 972 3307 1835
577 1008 2537 653
213 715 1432 3372
1152 371 5186 1835
763 730 2526 20
1027 1182 713 205
345 797 740 3181
534 1182 713 2060
1316 736 2673 20
96 451 1449 20
1212 930 4565 910
803 445 3237 1449
206 68 3372 910
962 798 883 1299
540 1041 628 3237
501 645 3372 10
932 342 4675 1131
527 390 1623 628
1384 1383 3627 2537
562 474 2767 4675
538 835 628 4565
1366 906 4675 3307
810 1061 2060 4675
1126 693 5576 883
1053 413 4652 1835
1013 595 628 3865
110 474 2767 4675
1178 822 5576 3307
322 799 4565 3627
1362 101 628 2526
1364 1034 4675 2046
1423 985 4675 3627
934 718 4820 3573
1292 1243 1573 2760
899 1126 5008 465
388 604 10 5048
788 787 1299 465
748 822 5576 3307
929 590 713 4675
951 523 883 628
912 213 3181 2114
455 305 1623 205
255 755 4652 2767
520 162 910 3573
643 1063 1573 713
1164 176 740 4384
889 348 1835 4420
1006 556 1432 2114
386 908 20 1365
1209 680 2537 3181
681 90 210 4384
1008 1099 3307 1432
1264 402 4652 1299
216 510 713 465
859 509 5186 3171
455 596 1449 205
1345 265 5576 10
783 735 5048 2526
874 993 883 1573
914 59 4384 205
248 743 2537 2673
713 1047 4261 2673
679 981 1623 4565
1152 341 3627 1623
871 699 1449 4626
13 154 4420 1131
823 867 1131 2046
153 902 5186 2537
1283 589 5576 5186
1124 303 2767 4565
447 1014 20 1623
1260 653 5008 4384
1233 624 4820 2767
411 775 20 5048
258 631 2114 628
2 587 5048 3171
573 599 883 5048
806 605 2767 4384
416 125 1623 740
1099 735 10 4626
1186 307 5576 4384
1230 183 2537 4626
800 369 5576 2673
1031 902 5186 2537
571 267 2046 4998
408 855 3573 1131
869 389 4998 3372
163 971 3301 1299
770 428 1131 2767
299 687 4779 5186
1362 637 4779 2673
1069 931 628 4626
135 1012 4565 2673
678 408 5048 713
971 456 4384 2673
317 905 2060 5008
170 942 5576 3237
1225 1000 1623 3237
626 958 5186 2673
1098 678 2767 1623
1011 1375 3573 4626
430 586 4779 10
743 531 5576 1365
176 638 5048 210
451 797 3181 740
386 360 2114 5048
1425 335 3181 20
1131 638 210 5048
184 894 1573 2046
440 132 4261 5048
1429 174 4998 205
19 545 4626 3237
448 999 1365 4675
252 548 5008 4998
718 809 205 4779
850 453 1299 1835
1055 138 2046 3372
508 1004 1573 1432
1068 639 5186 1299
241 975 4261 4779
1335 218 1623 3171
1391 487 1573 4820
347 785 3237 3372
599 291 2767 4420
1318 682 210 653
728 578 740 1299
215 396 628 1365
724 1136 3237 3307
224 1319 4626 5008
466 530 210 1449
361 1136 4675 1623
312 554 1573 4565
1407 482 2673 3307
933 816 4384 4652
663 90 210 4384
140 39 2114 3865
355 877 2537 10
124 494 3171 3865
228 496 205 910
478 1402 4652 2760
607 706 2060 4998
763 459 1573 4626
287 136 883 1623
1201 1271 3865 3307
312 635 910 5186
343 174 4998 205
1252 1023 3372 1573
1248 303 2537 4652
36 779 910 713
387 660 1835 4820
994 629 2114 205
317 378 3865 653
143 672 1573 4420
942 891 740 20
1282 1269 4652 3627
193 754 713 1835
772 1099 3307 3301
991 1339 1365 2537
945 865 1365 1432
1102 981 1623 4565
253 878 2760 2673
1336 206 4626 4779
252 102 740 210
560 260 3865 10
41 582 910 628
726 905 3237 2760
626 75 4565 3181
867 1013 740 4675
154 1106 3307 1365
977 386 5576 3171
1201 595 628 3865
585 177 5576 628
1177 562 2046 1449
128 741 4779 4820
78 616 4384 2114
1341 1045 1131 628
1122 1497 2760 4779
675 617 3301 2526
1374 571 1573 3181
680 973 4998 4565
441 466 4384 3372
1027 616 740 2673
636 804 4420 2046
764 559 653 1365
715 1178 2673 5048
488 587 3865 4384
170 852 5048 5576
845 396 5048 4420
652 1416 653 2060
645 645 3372 10
828 838 1432 4779
374 1375 4626 3573
596 971 4420 883
1385 1090 210 4626
437 305 5186 653
1049 706 1299 2537
825 943 2760 5576
1021 1402 2760 4626
876 366 653 1449
446 636 4384 2760
1019 705 2767 4626
869 980 4652 740
1306 362 5576 210
753 1088 2526 1432
1075 855 3573 1131
1426 1217 20 3573
1302 631 4820 2114
1209 861 3372 1299
568 971 4420 883
650 247 5576 2526
439 528 2046 653
506 566 3627 2114
308 663 2537 1131
355 199 1573 1299
99 729 4384 1835
1439 571 1573 3181
671 292 20 4626
846 646 1449 4779
984 547 4420 10
555 798 740 1835
75 1347 4420 2060
245 1217 20 3573
1311 618 3372 3865
1117 987 713 4652
922 161 3171 2526
1033 726 3181 3171
1061 370 10 210
5 58 653 5048
584 755 4652 2767
408 788 713 20
1365 1221 4626 3627
154 568 1299 3865
395 589 5186 5576
644 1018 4384 3237
84 152 2046 740
1104 1110 4779 1623
808 1282 2060 4261
372 810 3237 1573
1131 688 1835 1432
647 433 4652 4675
880 730 3573 5186
831 897 4420 4820
1006 607 4384 1573
144 919 3307 2526
42 673 465 653
799 194 3301 2760
975 706 1835 3171
984 798 1835 740
362 458 4820 2046
92 617 3301 2526
473 33 1449 2114
269 1036 3307 740
1037 973 2537 628
1207 792 3171 4420
457 906 5008 3181
1021 111 4420 3181
1308 966 1623 1432
684 1261 2760 4675
466 766 1449 3573
1366 797 3181 4820
657 724 5048 4998
1015 140 740 4998
1284 785 4420 5576
162 1005 2060 465
1173 891 713 883
83 522 4565 713
490 586 4779 10
580 90 4384 210
341 229 2767 3181
1287 1168 1432 628
803 895 1835 3627
1336 609 3372 628
582 394 3301 740
1115 586 2760 5048
71 195 3237 1432
246 538 653 3573
1126 154 1623 2046
678 775 1432 910
1328 1036 628 465
428 836 1365 4565
1080 390 628 1623
620 415 5048 3301
886 403 5186 3237
1347 318 3627 5048
74 267 10 1449
532 659 4779 3307
734 662 3301 713
548 1116 910 4675
404 275 1299 628
895 1030 2760 3181
380 949 5048 1573
700 1142 465 1365
118 1068 465 2526
1359 348 2767 1835
9 816 4652 4384
376 307 4384 5576
721 942 3237 5576
93 343 653 2114
641 540 4675 1432
1010 589 5576 5186
919 812 3181 4384
1300 1364 5048 2060
481 256 4998 628
355 895 2760 3865
469 555 205 1573
896 408 713 5048
440 378 5048 1449
1413 632 4779 3865
428 926 3171 4675
1437 14 628 4820
422 101 2526 628
157 548 3627 2767
1136 510 713 465
1235 671 4998 1449
1229 303 4652 20
685 439 205 883
998 176 4384 740
971 689 4820 4261
1399 1088 465 3171
1268 854 4998 1835
250 901 2060 910
280 1048 4820 465
1288 756 3301 10
955 141 4998 1623
1190 1326 465 883
839 893 2673 3865
975 66 3573 5008
142 1396 3573 2537
570 83 1365 740
186 822 2526 4565
950 230 1365 883
625 932 5048 1299
556 548 4565 4261
763 474 2767 4675
1061 924 1623 1835
1272 630 1573 5186
27 568 740 2767
998 863 5008 10
366 472 628 1573
1097 610 653 10
895 750 3573 2767
80 927 10 713
1327 540 20 3237
977 1242 5008 1573
1103 452 3865 1131
182 682 653 210
212 179 4261 653
750 251 2760 883
1199 1104 5008 1835
207 645 1365 1299
98 1044 3307 713
574 535 4384 3627
333 557 3865 1573
1183 740 4261 5576
846 610 1299 2767
1029 283 883 5008
1241 1364 5048 2060
423 1039 883 4565
182 1162 3181 3307
262 122 3301 3627
360 775 1623 2060
171 784 2046 3181
980 673 1299 3181
1425 234 4675 1835
586 757 2673 2046
431 596 3865 4820
886 688 3301 2114
1158 259 4565 3237
465 195 3237 1432
39 794 3181 3372
1166 799 3627 4565
326 1048 465 3627
1437 973 4261 4626
463 699 1449 4626
1075 937 1299 653
123 375 653 3627
1010 455 653 4565
600 316 1835 3865
937 1189 713 5576
976 512 3372 2526
575 932 1299 5048
773 859 2046 1835
770 775 20 5048
1105 665 4779 2767
740 812 3181 205
233 676 3865 4998
517 689 4261 4820
1226 505 4261 210
133 330 1449 1835
1093 1017 1835 3301
106 1066 5008 1299
1250 129 3301 910
281 799 4565 3627
